,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
Hsa.37937,761.37857,321.62024,196.59524,388.40714,445.74405,477.9131,319.44405,208.61429,632.94405,351.35,444.5,210.22262,471.22262,686.63333,828.64524,713.69643,294.60476,246.65476,357.82738,231.79762,919.77262,337.37262,282.27857,217.13333,104.64167,195.65,161.10357,526.65,260.17381,199.57262,180.89762,111.21667,325.47024,75.367857,193.57143,150.99286,150.68452,246.92381,340.16429,383.35476,274.54643,149.7119,150.56786,237.79167,156.99524,87.564286,246.99524,79.711905,236.26667,96.270238,392.74167,615.35357,422.79048,217.02381,334.12381,305.2381,190.5,341.26429,147.25833,143.87024,224.1131,198.93095
Hsa.6814,1342.9675,660.61,387.2425,598.4975,906.42875,1747.855,1231.1062,418.39875,620.47125,760.445,1270.9688,229.045,437.01125,543.28625,2161.8975,481.00875,1777.9662,360.72,580.7275,153.23,476.195,596.045,624.42625,338.46,147.90625,149.5225,170.11375,365.39375,304.48875,449.80375,193.85,228.63,489.83375,79.3,287.23,102.5075,144.40875,254.69375,286.0025,241.35625,261.01125,175.815,147.2,241.73875,214.0575,60.5125,280.29125,92.3175,201.1475,93.0775,302.895,1051.7438,443.055,170.08875,625.8975,356.83,216.845,371.53625,248.54125,114.88,238.7625,103.10375
Hsa.831,442.42625,204.94875,203.1225,278.695,299.5,435.9775,264.7625,433.1075,180.935,243.3575,242.68,96.875,253.42625,577.25625,933.26,376.7825,599.97625,619.3775,520.9125,912.52,356.8625,437.125,661.33125,59.20625,1146.7775,687.79125,2032.7762,2464.7375,680.16625,782.87125,536.49375,954.41125,1015.0575,889.33875,1097.0188,567.58625,284.38375,1630.5675,674.09625,1110.39,540.6575,572.4025,950.72625,1752.8225,716.31375,1925.4475,855.96625,1519.5463,1005.505,451.66,3323.5488,845.22375,3262.495,3765.3988,301.23,1380.6812,524.1925,510.735,361.34,504.62,2363.1875,979.5225
Hsa.549,567.9325,371.0075,148.39125,132.45625,130.685,1088.2562,157.02625,75.7975,138.56125,145.67625,226.56625,49.7775,147.34375,267.50875,843.1575,374.12375,371.01625,648.65,184,429.48,357.18,477.2625,509.93125,233.41625,260.4375,609.71,1045.9812,1744.465,481.275,241.5525,525.02375,378.49375,741.69625,297.7875,610.07375,671.71125,870.63,1364.6875,1729.8888,2497.8662,948.4075,622.75625,1046.8587,1199.3375,532.79375,705.18875,310.31,702.385,1444.7888,420.28625,2374.1575,665.4975,1723.2425,709.86625,331.095,1800.2062,734.22875,311.91625,269.435,312.97625,1043.1325,997.1875
Hsa.627,300.875,230.00375,142.36375,198.05625,309.9675,384.055,328.525,334.96,176.70625,143.79625,249.53375,38.79,251.44,157.5775,500.86,134.61,395.36375,1004.5912,370.345,765.47625,246.8875,356.24625,459.4325,177.3725,526.685,421.4425,1567.9013,1979.23,303.26125,1167.2625,586.91375,381.29125,529.8925,64.02,1194.8275,597.21375,315.73375,989.31875,551.75375,949.8125,1683.055,487.065,901.68,814.70875,369.88625,781.45125,463.62625,1432.8838,1038.325,366.40375,2036.4362,428.84,1548.7225,1843.4712,174.3975,1271.615,1038.0263,414.13375,267.5875,404.705,906.0575,583.6025
Hsa.773,137.17625,48.6775,71.19,87.1575,165.18375,182.10875,112.8125,74.49,42.74875,119.165,107.96,27.56875,94.71125,112.2675,273.95,143.25125,194.36625,237.3425,129.95,175.7575,59.48875,167.10875,155.8575,56.79375,389.0875,147.7775,1585.9338,1732.6262,359.0525,373.41,304.91875,423.93,175.1875,669.12625,359.8325,177.345,95.22125,334.26375,313.7975,403.64,333.64875,336.56875,183.065,268.08875,247.2375,367.8025,191.35625,275.98,330.11125,116.035,569.25875,235.13625,614.40125,639.59625,57.41375,662.90875,192.665,121.93125,166.17625,483.11625,396.87,176.19
Hsa.2928,1644.4262,973.16875,325.045,541.5325,774.27875,2221.7513,1236.2988,277.54375,89.84,296.63125,1224.7325,69.1325,1214.4637,480.35625,2008.5137,992.03125,2202.9038,55.1775,1343.4212,148.65875,887.695,953.95375,309.49375,333.625,124.02,126.43,183.70625,61.53,244.7375,282.3775,49.02125,51.82625,81.27125,16.0425,102.75875,85.42625,137.65375,178.57375,413.355,216.26125,664.9625,111.43875,43.5925,170.10375,181.665,30.1975,401.69,51.14625,165.185,182.51875,228.12,1494.5875,103.1275,99.58,590.41375,21.08,76.66125,697.3275,374.2,88.56625,83.51375,58.4775
Hsa.601,78.20875,36.2775,77.24625,54.2325,51.18875,82.8275,23.42875,35.995,45.4675,57.8,106.56625,13.03625,24.49625,64.02625,124.66,83.91375,35.36375,117.97125,13.6625,35.8125,47.59,51.90875,137.39,95.155,82.85375,99.305,186.98375,540.015,80.91375,116.1025,51.81375,115.37875,246.73375,16.175,186.3425,110.06,101.5625,241.1775,340.41875,306.0475,322.53375,277.7025,146.66125,167.67375,124.0075,71.13,199.21125,84.4825,108.60375,56.3525,273.74125,133.67125,334.38875,193.05875,32.325,146.05125,114.96,32.84125,24.73,117.11125,101.99875,74.1075
Hsa.3306,23.74,35.95875,33.9725,56.91875,28.7675,45.1,11.37625,28.00875,39.7575,31.6975,30.57875,171.4525,36.8675,40.33875,76.9875,55.2,238.58625,97.92,113.91375,645.99375,117.6025,567.13125,75.95,306.30875,391.355,2076.9025,599.6975,175.55125,120.72,93.3575,148.04125,222.55875,210.90125,1528.4062,76.125,169.1375,213.6275,370.04,114.92375,326.42625,311.4375,186.2775,131.65875,412.135,284.14625,1178.9188,75.81375,1007.5262,227.70625,80.73875,1813.4562,170.11875,737.695,270.19625,62.7375,247.52625,390.31125,249.15125,117.185,104.78125,124.91875,519.08125
Hsa.36689,79.775,26.75375,38.74875,21.04625,62.56625,87.955,37.64125,9.78375,31.6275,53.2,64.1725,13.33375,84.14375,83.3375,201.51625,154.7925,186.91625,105.88125,88.165,163.5925,67.7375,125.91375,68.84125,41.92,165.44625,99.9575,518.665,339.30875,121.035,102.17125,124.3925,180.905,92.3375,92.73625,161.68625,142.9825,115.74875,306.46375,369.565,176.86875,337.84875,287.055,126.99375,267.7125,115.74875,259.9625,163.91375,347.9825,255.5975,93.0825,219.83875,98.79375,416.0925,332.09625,52.74375,461.88625,131.5325,113.66625,89.64,72.815,190.51875,131.875
Hsa.1832,53.1475,27.58,56.0275,45.74625,63.8525,68.18125,32.1125,61.59875,11.85625,41.88125,73.73,9.76875,78.095,121.2025,38.14625,45.33875,66.94,44.32125,80.68375,48.4525,59.6125,82.0475,87.71,20.735,129.9575,79.39125,161.76375,326.6675,152.88,153.99625,61.74,136.3675,89.76,80.11875,143.9975,71.5825,66.21125,220.04375,159.58625,115.2175,93.69875,107.41125,112.94125,127.94875,90.8325,152.015,109.72125,192.0325,182.1975,50.6775,160.85625,89.425,337.645,273.5275,57.8025,375.8075,139.5725,75.66875,63.6125,47.65,142.7525,63.32125
